Date,High ,Low,Open,Close,Volume
1/1/2020,1.1212,1.12218,1.12106,1.12188,2631
1/2/2020,1.12188,1.12245,1.11635,1.11708,487247
1/3/2020,1.11707,1.11798,1.11249,1.11548,177422
1/5/2020,1.11656,1.11677,1.11589,1.11604,4401
1/6/2020,1.11603,1.12055,1.11571,1.11954,139986
1/7/2020,1.11953,1.1197,1.11335,1.1154,155625
1/8/2020,1.11539,1.11682,1.11016,1.11129,195248
1/9/2020,1.1113,1.11204,1.10924,1.11093,142847
1/10/2020,1.11092,1.11291,1.1085,1.11165,126777
1/12/2020,1.11141,1.11209,1.11128,1.11161,1899
1/13/2020,1.11161,1.11469,1.11125,1.11344,121444
1/14/2020,1.11344,1.11444,1.11045,1.11275,137190
1/15/2020,1.11276,1.11634,1.11185,1.11524,149735
1/16/2020,1.11524,1.11727,1.11279,1.11368,132792
1/17/2020,1.11368,1.11425,1.10862,1.1089,123860
1/19/2020,1.1091,1.10948,1.10889,1.10946,3280
1/20/2020,1.10946,1.11023,1.10766,1.10962,97617
1/21/2020,1.10963,1.11179,1.10809,1.10851,133297
1/22/2020,1.10851,1.10984,1.107,1.10957,134184
1/23/2020,1.10956,1.11087,1.10362,1.10554,170435
1/24/2020,1.10554,1.10617,1.10195,1.10224,123754
1/26/2020,1.10318,1.10343,1.10244,1.10245,10940
1/27/2020,1.10245,1.10375,1.10096,1.10193,126592
1/28/2020,1.10193,1.10252,1.09978,1.1022,122880
1/29/2020,1.1022,1.10276,1.09923,1.10138,122836
1/30/2020,1.10138,1.10393,1.10069,1.10285,143395
1/31/2020,1.10285,1.10954,1.10168,1.10944,141189
2/2/2020,1.10939,1.10939,1.10813,1.1089,4191
2/3/2020,1.1089,1.1089,1.10356,1.10623,134301
2/4/2020,1.10623,1.10641,1.10328,1.10446,113722
2/5/2020,1.10449,1.10479,1.09937,1.10003,122284
2/6/2020,1.10003,1.10138,1.09644,1.09806,102188
2/7/2020,1.09809,1.09849,1.09419,1.09438,130379
2/9/2020,1.09439,1.09507,1.09419,1.09491,3796
2/10/2020,1.09491,1.09574,1.09076,1.09101,103269
2/11/2020,1.09103,1.09248,1.08913,1.09189,96233
2/12/2020,1.09187,1.09255,1.08654,1.08756,2979097
2/13/2020,1.08755,1.08887,1.0834,1.08413,336731
2/14/2020,1.08415,1.08611,1.08271,1.08299,118361
2/16/2020,1.08406,1.08416,1.08355,1.08411,3470
2/17/2020,1.08411,1.08509,1.08291,1.08366,74839
2/18/2020,1.08365,1.08372,1.07854,1.07949,131588
2/19/2020,1.07949,1.08115,1.07822,1.08096,105176
2/20/2020,1.08095,1.08211,1.07778,1.07875,154026
2/21/2020,1.07875,1.08635,1.07871,1.08456,187654
2/23/2020,1.08145,1.08419,1.08132,1.08384,7695
2/24/2020,1.08385,1.0872,1.0805,1.08485,174358
2/25/2020,1.08485,1.08902,1.083,1.08797,183233
2/26/2020,1.08796,1.09086,1.08549,1.08864,188227
2/27/2020,1.08865,1.10064,1.08848,1.09963,216936
2/28/2020,1.09964,1.1053,1.09509,1.10251,247663
3/1/2020,1.10423,1.10739,1.10393,1.10515,7533
3/2/2020,1.10516,1.11845,1.10362,1.11443,247038
3/3/2020,1.11443,1.12134,1.10953,1.11765,214831
3/4/2020,1.11765,1.11875,1.10955,1.1138,163862
3/5/2020,1.11382,1.12447,1.11195,1.12224,194629
3/6/2020,1.12224,1.13546,1.12112,1.12804,236547
3/8/2020,1.13473,1.13963,1.1335,1.13876,17978
3/9/2020,1.13876,1.14954,1.13559,1.13989,291484
3/10/2020,1.13989,1.14251,1.12749,1.13136,263081
3/11/2020,1.13136,1.13667,1.12501,1.12611,198271
3/12/2020,1.12612,1.13336,1.1055,1.11823,262653
3/13/2020,1.11822,1.12213,1.1055,1.10992,229628
3/15/2020,1.10705,1.11996,1.10705,1.1156,30728
3/16/2020,1.1156,1.12366,1.10849,1.11633,278546
3/17/2020,1.11632,1.11891,1.0955,1.1016,277098
3/18/2020,1.10161,1.10451,1.08016,1.09442,323485
3/19/2020,1.09442,1.0949,1.06542,1.06544,299830
3/20/2020,1.06543,1.08309,1.06375,1.06929,470361
3/22/2020,1.07011,1.07044,1.06357,1.06886,36038
3/23/2020,1.06886,1.08279,1.06577,1.07635,443006
3/24/2020,1.07633,1.08879,1.07457,1.07977,343207
3/25/2020,1.07978,1.08938,1.07599,1.08884,296534
3/26/2020,1.08882,1.10589,1.08742,1.10475,281332
3/27/2020,1.10475,1.11473,1.09533,1.11379,250789
3/29/2020,1.11172,1.1144,1.11049,1.11361,8315
3/30/2020,1.11361,1.11383,1.101,1.1029,193351
3/31/2020,1.10289,1.10427,1.09265,1.10259,319590
4/1/2020,1.1026,1.10361,1.09026,1.09513,272227
4/2/2020,1.09514,1.09644,1.08206,1.0846,293229
4/3/2020,1.08459,1.08553,1.07727,1.07955,264084
4/5/2020,1.08082,1.08214,1.08026,1.08053,23176
4/6/2020,1.08053,1.08354,1.07683,1.07988,274569
4/7/2020,1.07988,1.09263,1.07904,1.08935,281130
4/8/2020,1.08934,1.08969,1.08299,1.08599,231755
4/9/2020,1.08598,1.09516,1.08409,1.09226,263070
4/10/2020,1.09226,1.09524,1.09192,1.09326,143888
4/12/2020,1.09482,1.09482,1.09304,1.09315,7195
4/13/2020,1.09314,1.09678,1.08926,1.09198,164640
4/14/2020,1.09197,1.09907,1.09149,1.09834,226866
4/15/2020,1.09832,1.09872,1.08564,1.09037,241946
4/16/2020,1.09036,1.09072,1.08166,1.08584,281483
4/17/2020,1.08588,1.08926,1.08119,1.08711,249750
4/19/2020,1.08748,1.08777,1.08634,1.08635,7591
4/20/2020,1.08635,1.08967,1.08411,1.08637,209670
4/21/2020,1.08636,1.08802,1.08165,1.08563,265128
4/22/2020,1.08563,1.08852,1.08032,1.08062,216291
4/23/2020,1.08062,1.08466,1.0756,1.07743,280009
4/24/2020,1.07743,1.08294,1.07271,1.08196,228547
4/26/2020,1.08211,1.08228,1.08146,1.08209,5396
4/27/2020,1.08208,1.08602,1.08112,1.08245,208274
4/28/2020,1.08244,1.08884,1.08097,1.08324,211884
4/29/2020,1.08324,1.08856,1.08308,1.08772,215395
4/30/2020,1.0877,1.09726,1.0833,1.09448,291710
5/1/2020,1.09447,1.10187,1.09344,1.09777,184970
5/3/2020,1.09676,1.09736,1.09529,1.09608,10653
5/4/2020,1.09608,1.09609,1.08956,1.0903,214135
5/5/2020,1.09031,1.09258,1.08258,1.08384,236421
5/6/2020,1.08385,1.08438,1.07819,1.0798,241136
5/7/2020,1.0798,1.08408,1.07665,1.08361,233075
5/8/2020,1.0836,1.08756,1.08151,1.08371,163419
5/10/2020,1.08265,1.08395,1.08239,1.08377,8717
5/11/2020,1.08377,1.08504,1.08005,1.08093,212812
5/12/2020,1.08093,1.08851,1.07843,1.08454,207058
5/13/2020,1.08455,1.08965,1.08116,1.0821,229006
5/14/2020,1.0821,1.08239,1.07748,1.0806,214011
5/15/2020,1.08061,1.08509,1.07888,1.08183,198828
5/17/2020,1.08088,1.08231,1.08067,1.08186,6918
5/18/2020,1.08186,1.0927,1.07999,1.09139,204154
5/19/2020,1.09138,1.09759,1.09021,1.0926,247844
5/20/2020,1.09262,1.09989,1.09262,1.09796,211275
5/21/2020,1.09794,1.10083,1.09371,1.0949,175881
5/22/2020,1.09491,1.09535,1.08852,1.0898,156635
5/24/2020,1.08956,1.09083,1.08951,1.09079,4085
5/25/2020,1.0908,1.09144,1.08706,1.09016,98796
5/26/2020,1.09015,1.09957,1.08969,1.09784,207554
5/27/2020,1.09785,1.10307,1.0934,1.10166,319495
5/28/2020,1.10165,1.10934,1.09916,1.10779,231206
5/29/2020,1.10778,1.11451,1.10698,1.11036,373020
5/31/2020,1.11129,1.11195,1.11023,1.11156,9222
6/1/2020,1.11155,1.1154,1.11004,1.11251,240621
6/2/2020,1.11252,1.11959,1.11151,1.11851,276689
6/3/2020,1.1185,1.12577,1.11795,1.12349,242099
6/4/2020,1.1235,1.13623,1.11947,1.13354,275765
6/5/2020,1.13357,1.13836,1.12784,1.12911,263548
6/7/2020,1.12934,1.13198,1.1293,1.1316,6425
6/8/2020,1.1316,1.13185,1.12682,1.1304,199315
6/9/2020,1.1304,1.13638,1.12409,1.1332,237767
6/10/2020,1.1332,1.14224,1.13219,1.13667,252825
6/11/2020,1.13668,1.14036,1.1287,1.12879,306084
6/12/2020,1.12881,1.13405,1.12125,1.1255,296442
6/14/2020,1.12329,1.12582,1.12262,1.12515,17512
6/15/2020,1.12516,1.1338,1.12267,1.13375,281651
6/16/2020,1.13376,1.13532,1.12278,1.12648,237647
6/17/2020,1.12649,1.12939,1.12068,1.12419,248307
6/18/2020,1.12419,1.12613,1.11854,1.12076,234918
6/19/2020,1.12075,1.12542,1.1168,1.11759,232217
6/21/2020,1.11835,1.11874,1.11684,1.11766,6136
6/22/2020,1.11766,1.12809,1.11737,1.12776,184249
6/23/2020,1.12775,1.13486,1.1233,1.13124,233941
6/24/2020,1.13124,1.13257,1.12481,1.12499,231643
